"","County","Population","DVM","PharmD","SWs","PTs","PAs","PCPs","Psych","FM","GPs","Gers","IM","OB.GYN","Peds","sqmi"
"143","Lavaca",19541,10,16,7,14,3,13,1,11,2,0,0,0,0,969.7037858937
"144","Lee",17880,13,6,6,5,0,5,0,3,0,0,0,0,2,629.0173165419
"145","Leon",18131,8,10,2,2,1,3,0,1,1,0,0,1,0,1073.1507249177
"146","Liberty",82984,11,36,12,10,9,29,0,12,2,0,6,3,6,1158.4393963857
"147","Limestone",24761,4,18,11,9,6,17,3,12,1,0,4,0,0,905.2831028241
"148","Lipscomb",3549,1,1,0,1,0,0,0,0,0,0,0,0,0,932.1717446613
"149","Live Oak",11718,4,4,2,1,1,0,0,0,0,0,0,0,0,1039.6888633989
"150","Llano",20400,8,11,6,5,5,14,0,11,0,0,1,2,0,934.0468879599
"151","Loving",81,0,0,0,0,0,0,0,0,0,0,0,0,0,668.9213693019
"152","Lubbock",295257,63,346,310,262,94,238,18,89,6,1,55,29,58,895.5943959105
"153","Lynn",6095,0,2,0,2,0,4,0,4,0,0,0,0,0,891.8619826545
"154","McCulloch",8634,2,7,5,4,3,3,0,1,1,0,1,0,0,1065.5924818968
"155","McLennan",244576,51,169,402,114,50,187,24,97,2,1,30,27,30,1037.1039262155
"156","McMullen",750,0,0,0,0,0,0,0,0,0,0,0,0,0,1139.799933558
"157","Madison",14639,7,6,5,3,1,5,0,5,0,0,0,0,0,466.0626026628
"158","Marion",11059,3,4,3,2,0,1,0,0,1,0,0,0,0,380.8890638982
"159","Martin",5182,0,3,1,2,1,4,0,4,0,0,0,0,0,915.0163602723
"160","Mason",4128,6,1,1,1,1,1,0,1,0,0,0,0,0,928.7982036333
"161","Matagorda",38295,9,23,11,8,7,22,0,8,0,0,5,4,5,1100.2708866006
"162","Maverick",58947,2,16,16,11,11,22,0,5,1,0,6,4,6,1279.4670811494
"163","Medina",51307,17,19,17,9,5,14,0,12,1,0,1,0,0,1325.3512935663
"164","Menard",2346,3,1,0,1,0,1,0,1,0,0,0,0,0,902.0245477815
"165","Midland",147653,38,107,83,85,58,89,10,19,2,0,30,17,21,900.2496144213
"166","Milam",25759,7,10,5,6,4,9,0,6,2,1,0,0,0,1016.8544592063
"167","Mills",5056,2,5,5,2,0,2,0,2,0,0,0,0,0,748.256939001
"168","Mitchell",9727,3,4,2,3,4,3,0,3,0,0,0,0,0,911.0846626596
"169","Montague",20610,10,16,10,11,2,8,0,7,0,0,1,0,0,930.9004984422
"170","Montgomery",548532,169,508,209,306,160,399,27,142,13,1,97,72,74,1041.8902866801
"171","Moore",23849,2,11,3,6,4,14,0,7,0,0,2,5,0,899.6858790777
"172","Morris",13438,1,13,3,0,2,2,0,2,0,0,0,0,0,251.9833059315
"173","Motley",1216,0,0,0,0,1,0,0,0,0,0,0,0,0,989.5547305215
"174","Nacogdoches",68586,16,52,85,36,11,60,3,28,1,0,14,10,7,946.5334102224
"175","Navarro",51464,12,25,25,17,8,22,0,7,0,0,7,4,4,1009.6267540788
"176","Newton",14431,0,3,4,0,1,4,0,2,0,0,1,0,1,933.6717941265
"177","Nolan",15690,3,13,6,7,1,10,0,6,1,0,2,1,0,911.9919069261
"178","Nueces",357888,68,317,246,191,74,319,22,108,8,0,85,44,74,838.3093732728
"179","Ochiltree",11410,2,6,3,3,0,5,0,4,1,0,0,0,0,917.67942981
"180","Oldham",2128,2,0,5,0,0,0,0,0,0,0,0,0,0,1500.5248994736
"181","Orange",85098,10,47,25,19,2,21,1,14,2,0,2,0,3,333.7786982673
"182","Palo Pinto",29914,5,14,13,18,2,17,0,12,0,0,2,2,1,951.785507673
"183","Panola",24912,4,8,9,4,3,9,0,7,0,0,1,0,1,801.7449214203
"184","Parker",136501,104,79,60,59,26,60,4,33,2,0,14,3,8,903.4720471062
"185","Parmer",11258,6,6,4,4,2,2,0,1,0,0,1,0,0,880.7760987597
"186","Pecos",16380,2,8,1,2,3,9,0,7,1,0,1,0,0,4763.8266535431
"187","Polk",48633,7,25,20,10,7,31,1,13,2,0,8,3,5,1057.0861826811
"188","Potter",127643,27,193,168,92,45,138,16,42,1,0,50,25,20,908.369616726
"189","Presidio",8314,1,0,0,0,1,3,0,3,0,0,0,0,0,3855.2194061667
"190","Rains",12019,3,3,2,1,2,1,0,0,1,0,0,0,0,229.4517257604
"191","Randall",130799,52,95,112,47,6,31,0,19,4,0,5,1,2,911.552822037
"192","Reagan",3634,0,1,0,0,0,2,0,2,0,0,0,0,0,1175.293021617
"193","Real",3393,1,1,4,1,0,0,0,0,0,0,0,0,0,699.1390877328
"194","Red River",13227,2,4,7,1,0,2,0,1,0,0,1,0,0,1036.5721055118
"195","Reeves",14398,1,6,3,7,3,6,0,3,1,0,1,1,0,2635.35894765
"196","Refugio",7486,1,4,0,1,2,3,0,1,0,0,1,0,1,770.4719376354
"197","Roberts",975,1,1,0,0,0,0,0,0,0,0,0,0,0,924.0525446724
"198","Robertson",18098,18,6,6,2,0,2,0,1,0,0,1,0,0,855.6873114933
